,CLE,MIL,CHA,IND,LAC,ORL,SAC,ATL,MIA,NYK,PHX,SAS,MEM,UTA,DAL,POR,DEN,BKN,TOR,CHI,NOP,PHI,DET,BOS,WAS,LAL,HOU,GSW,MIN,OKC
CLE,0.0,115.49375,112.1875,109.31875,102.4,105.15,110.625,115.7125,117.7125,114.8,108.45,117.975,112.775,109.7875,106.55,115.0,102.6,111.35,122.19375,117.51875,107.6,108.05,107.66875,101.265625,105.65937500000001,104.325,119.39999999999999,97.13749999999999,112.375,108.30000000000001
MIL,102.821875,0.0,110.94375,122.37812500000001,122.97500000000001,129.47500000000002,128.2,110.5251953125,110.76249999999999,117.23125,115.515625,103.88749999999999,114.725,108.025,107.2,131.275,118.2875,122.77939453125,104.83125,105.025,114.98750000000001,119.8125,115.31875,115.446875,108.01875,107.92500000000001,126.5375,118.275,116.375,101.15
CHA,112.546875,111.96875,0.0,115.59609375,97.1625,111.384375,121.475,119.45,102.49375,107.01875,101.15,123.05000000000001,108.475,104.85,110.775,119.8125,109.525,107.4625,112.6875,109.9125,115.35,113.484375,123.7875,113.2125,108.59062499999999,111.11250000000001,127.15,102.275,125.375,114.35
IND,104.4,106.58125,109.58203125,0.0,120.5875,114.7875,102.75,119.7,105.06875,116.6109375,106.7,120.89999999999999,129.55,115.65,116.025,112.925,109.875,105.39375000000001,113.165625,109.065625,112.82499999999999,116.25,114.01875,106.13749999999999,122.6625,110.575,123.4,105.8,112.625,117.575
LAC,105.64999999999999,116.07499999999999,116.57499999999999,124.3625,0.0,115.875,108.73125,116.1,114.5,115.225,108.39951171875,98.2875,113.478125,121.3935546875,105.06708984375,108.1953125,108.06562500000001,113.2875,114.75,110.89999999999999,104.028125,113.625,113.775,110.225,118.325,121.5625,115.775,102.775,117.5375,108.875
ORL,103.88749999999999,110.4953125,105.9,109.85,110.10000000000001,0.0,123.44999999999999,107.59375,100.734375,104.709375,104.25,91.05000000000001,102.925,106.6,109.91250000000001,94.75,108.95,103.703125,111.6125,101.1140625,107.675,101.51875,110.36250000000001,88.6875,104.41250000000001,99.775,109.025,101.3,108.25,107.4
SAC,105.775,121.85,127.5375,105.125,101.059375,130.225,0.0,107.3625,114.625,104.275,103.39375,120.4625,101.47812499999999,106.884375,106.99375,118.234375,118.0,122.05000000000001,105.48750000000001,122.4,114.7625,104.7875,123.75,97.575,113.6,104.6109375,110.79375,106.8,113.95,111.321875
ATL,118.00625000000001,120.91289062499999,123.025,119.5375,108.975,111.796875,119.225,0.0,119.084375,100.773046875,121.25,121.55,123.45,102.125,109.7125,124.55000000000001,110.6,111.925,115.0,118.43124999999999,116.95,107.089794921875,119.8,119.5,120.35624999999999,117.525,124.1,114.80000000000001,124.69999999999999,120.125
MIA,108.74375,113.225,115.3375,120.9875,113.2875,111.446875,115.825,121.36250000000001,0.0,114.825,113.94999999999999,118.30000000000001,104.36250000000001,117.78750000000001,118.7,118.95,112.25,108.17500000000001,111.7125,118.5375,120.225,110.23750000000001,109.71875,98.75,121.54374999999999,107.7625,115.42500000000001,108.125,107.94999999999999,112.875
NYK,107.93125,107.19218749999999,100.88125,106.9265625,117.15,103.153125,116.525,110.387109375,103.35,0.0,106.57499999999999,120.0625,115.6,110.75,111.67500000000001,117.9,103.375,116.4375,101.99375,113.90625,117.7,111.26875,108.75,108.840625,118.44999999999999,105.6,124.1,108.025,106.0,97.2
PHX,115.8375,109.37812500000001,123.975,116.1,107.08125,113.6,107.375,117.46249999999999,110.075,125.45,0.0,111.1375,117.5,115.69999999999999,112.2375,113.0625,119.66523437500001,120.22500000000001,115.0,120.45,118.71875,128.85,119.5375,110.425,115.3125,110.13564453125,115.24375,112.09375,111.31875,118.44999999999999
SAS,110.825,107.47500000000001,116.75,116.65,106.203125,110.61250000000001,122.45,113.875,102.5,112.65,106.45625000000001,0.0,108.6625,106.43125,107.15,112.725,113.878125,108.625,107.8,123.225,108.53750000000001,109.6,119.55,107.7,127.82499999999999,121.1375,126.853125,112.63749999999999,103.21249999999999,103.63125
MEM,120.0625,112.05000000000001,111.75,117.44999999999999,122.603125,116.7,122.359375,109.5,107.675,116.925,107.34375,117.609375,0.0,119.4470703125,100.45625,107.321875,111.928125,116.2,109.11250000000001,114.275,112.3125,119.4,111.175,112.75,103.675,110.98125,121.1125,105.32187499999999,110.321875,119.15
UTA,114.125,121.075,119.05,108.7375,125.8849609375,118.525,122.209375,119.0625,115.0625,112.4,106.74375,114.88749999999999,119.3365234375,0.0,116.26249999999999,126.9375,121.821875,119.5,118.7,109.8,119.80625,123.6,116.9625,134.02499999999998,113.44999999999999,107.5625,118.88125,114.61250000000001,121.19375,113.35
DAL,109.725,106.6,123.325,114.85,112.96918945312501,115.82499999999999,114.66874999999999,100.35,116.875,100.55,104.828125,115.403125,105.4671875,112.5625,0.0,133.61875,109.225,112.675,109.675,111.2875,115.06875000000001,110.92500000000001,123.55,115.525,121.05000000000001,106.9875,115.1125,103.775,120.29375,110.70781249999999
POR,116.7375,105.65,121.69999999999999,113.775,99.775,103.75,118.715625,126.325,109.95,113.75,110.83125,100.1875,111.04375,109.96875,116.2375,0.0,120.33994140625,120.85,121.7625,119.15,113.4,121.0625,116.8,119.1,116.15,104.984375,113.25625000000001,102.6625,112.55000000000001,102.75
DEN,110.45,124.35,113.1,118.17500000000001,109.38749999999999,112.025,119.75,123.9,127.6625,121.94999999999999,105.089453125,119.215625,109.628125,111.271875,108.671875,122.83935546874999,0.0,124.2,119.80000000000001,109.35,114.35625,104.95,116.0625,99.05000000000001,115.6,122.98750000000001,112.98125,100.475,107.975,104.775
BKN,115.70625,106.97294921875,103.80000000000001,114.09375,121.375,105.490625,121.125,117.7375,103.475,119.64999999999999,116.30000000000001,119.83749999999999,106.5,108.0,108.8,114.025,114.0625,0.0,122.0375,109.353125,127.625,110.246875,109.25625,129.493359375,111.2375,111.55,120.175,106.67500000000001,115.07499999999999,122.5125
TOR,103.6375,110.640625,117.175,106.11875,112.67500000000001,118.65,124.42500000000001,120.9625,113.8375,108.28125,109.575,120.05,109.7625,113.0125,106.7,116.07499999999999,127.15,116.8625,0.0,113.5,112.85000000000001,113.70625,116.46875,102.796875,110.59062499999999,110.1,111.35,118.44999999999999,101.94999999999999,111.3
CHI,107.00625,99.6625,126.05000000000001,108.1359375,110.325,119.38593750000001,124.4,124.53125,103.775,116.271875,112.94999999999999,112.95,102.525,105.375,115.8375,120.43749999999999,115.86250000000001,112.9125,116.01249999999999,0.0,129.575,108.971875,102.184375,125.7,121.3625,113.7375,127.1125,98.2125,116.95,113.35
NOP,114.2125,111.61250000000001,112.05,105.2,122.5375,118.675,107.54375,105.725,105.775,115.10000000000001,106.23124999999999,101.07499999999999,122.075,106.9375,111.13125,118.61250000000001,112.17500000000001,115.425,114.975,117.175,0.0,104.7,115.4,103.825,116.25,104.94999999999999,120.78125,96.5,102.4375,109.98125
PHI,100.4,104.61250000000001,116.296875,114.26249999999999,111.325,111.23125,113.725,109.85734863281249,109.93125,106.75,122.30000000000001,122.4375,99.8875,102.65,114.30000000000001,117.5875,107.1,111.915625,115.6625,118.2625,117.0875,0.0,117.9625,107.88749999999999,117.67861328125,107.2,119.975,105.05000000000001,114.85,118.875
DET,98.325,97.50625000000001,106.69999999999999,109.38125000000001,105.9,110.19375,114.525,109.6,109.46875,92.35,105.45,100.73750000000001,96.65,111.275,113.35,98.15,108.3,98.68125,127.79375,86.190625,104.9625,108.75625,0.0,103.7875,107.65,109.11250000000001,107.4875,103.3875,107.35,109.575
BOS,108.05000000000001,118.471875,119.44999999999999,118.21875,105.725,108.234375,121.05000000000001,107.625,114.78125,114.48124999999999,113.175,102.775,119.0,124.5,111.875,131.2125,115.65,109.103515625,110.3125,116.80625,110.95,102.696875,106.775,0.0,103.6875,112.2125,112.32499999999999,115.19999999999999,115.2,112.85
